channel_id,title,appearances_in_searches,subscriber_count,view_count,video_count,published_at,country,playlist_id,description
UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,50,1380000,142383927,1113,,United States,UUh9nVJoWXmFb7sLApWGcLPQ,"I am Dhaval Patel, an AI professional with 14 years of experience with big tech companies such as Bloomberg and NVIDIA. I am also a cofounder of AI services company AtliQ. The cofounder of this channel Hemanand Vadivel has 6 years of DATA INDUSTRY experience in Europe. We teach data analytics, data science, and AI on this channel. All our content is highly relevant to the industry.

Visit httpscodebasics.io for my video courses that teach technology most simplistically and practically!

For all Business and Sponsorshiprelated inquiries, dont hesitate to get in touch with businesscodebasics.io."
UCSDWBDH08jTDl6kdD-HjGew,Matthew Hefferon,14,3590,998335,100,,United States,UUSDWBDH08jTDl6kdD-HjGew,"Welcome to my channel!

I started my career as a software developer, built some startups, and helped implement data visualization tools at multiple companies, including Nintendo of America.

I love teaching and wanted to create a channel to share what Ive learned over the past 10 years in tech 

Cheers"
UC8_RSKwbU1OmZWNEoLV1tQg,Data with Baraa,33,173000,8180757,329,2022-12-24 21:19:00.052502+00:00,Germany,UU8_RSKwbU1OmZWNEoLV1tQg,"Hey! Im Baraa Khatib Salkini  a data guy who loves teaching and simplifying complex topics. With 15 years in data and analytics including time at MercedesBenz, I share quick handdrawn sketches, realworld projects, and clear, practical explanations.

If youre starting your data journey, switching careers, or just curious about analytics, SQL, Tableau, data science, or data engineering, youre in the right place.

Join me to build your skills and launch your data career!  httpbit.ly3GiCVUE

 Stay connected
LinkedIn httpswww.linkedin.cominbaraakhatibsalkini845b1b55
Substack httpsdatawithbaraa.substack.comsubscribe
Website httpswww.datawithbaraa.com
TikTok httpswww.tiktok.comdatawithbaraa

python programming project sql tableau"
UC7cs8q-gJRlGwj4A8OmCmXg,Alex The Analyst,59,1160000,54573620,397,2020-01-08 05:04:24.970712+00:00,United States,UU7cs8q-gJRlGwj4A8OmCmXg,"My name is Alex Freberg and on this channel I will be going over everything you need to know to become a Data Analyst. If you are wanting to make a career change or learn the skills needed to become a Data Analyst, be sure to subscribe to stay up to date on all my latest content.

You can find me on LinkedIn at
httpswww.linkedin.cominalexfreberg

AlexTheAnalyst.com
httpswww.alextheanalyst.com

Discord Channel
httpsdiscord.ggrxZUjNvRzR

Twitter
AlexTheAnalyst"
UCm7fT9_IdCDbeBXjAwL9IIg,datagy,15,5700,361752,38,2020-03-30 01:36:33.917297+00:00,Canada,UUm7fT9_IdCDbeBXjAwL9IIg,"Im Nik and I teach Python and other data analysis tools such as Excel, SQL, and PowerBI here on my channel and over at my website at datagy.io.

Check out my comprehensive guide to getting started with Python for data science here httpsdatagy.iointroductiontopythonfordatascience"
UCFqInmJykuVFKzi6uQl_ySg,Maven Analytics,26,127000,6243195,573,,United States,UUFqInmJykuVFKzi6uQl_ySg,"At Maven Analytics, we empower everyday people to land their dream jobs in data analytics and business intelligence. Weve helped more than 1,000,000 students launch or accelerate their data careers, and were just getting started.

Learn tools like Excel, SQL, Power BI, Tableau and Python, and build your FREE portfolio at www.mavenanalytics.io"
UCTV9o-srrSbeHWxw_KoMYiQ,Alaa_tech,14,65,631,36,,Unknown,UUTV9o-srrSbeHWxw_KoMYiQ,"learning a new skill here
 Data Analysis, Machine learning, Arc Gis, Petrel, Techlog and Seismic"
UCdF1F5n9LJZPxF7mPbdiUpw,Tech2Torials,59,9,1274,490,2025-08-29 20:19:55.099795+00:00,United Kingdom,UUdF1F5n9LJZPxF7mPbdiUpw,"Welcome to Tech2Torials! 
Your goto channel for simple, clear, and practical tech tutorials.

I create easytofollow guides on software tools, apps, and digital solutions that make life easier. Whether youre a beginner learning the basics or someone looking to sharpen your skills, my stepbystep tutorials will help you master the tech you use every day.

In the future, Ill also dive into tech gadgets, tips, and reviewshelping you stay updated and get the most out of your devices.

 Subscribe if you want to
 Learn software the easy way
 Discover useful tech tips
 Explore gadgets and digital tools

 Tech made simple. Knowledge made practical."
UC8LUT6Qn7MSvPQPM8ZJsW8g,LearnWidGiggs,16,93800,8477762,377,2021-08-20 13:49:46.207164+00:00,India,UU8LUT6Qn7MSvPQPM8ZJsW8g,"Hello, My name is Shashank, this channel helps people to prepare for the interviews and learn Microsoft Power BI tool, SQL Server and Azure based stuffs.

For any EnquiryBusiness Enquiry 
contact.shashank26gmail.com

Disclaimer I am not representing any Company or Organization, am only telling my opinions, not talking on behalf of any org."
UCWupCHV-_w4NAvJRhZy6FXw,Shahi_works,14,478,65026,400,2020-08-10 18:48:38.088730+00:00,India,UUWupCHV-_w4NAvJRhZy6FXw,"Aspiring Data Analyst YoutubeTutor artist

DO SUPPORT MY CHANNEL ND SHARE MAXIMUM.

Instagram Id .Shahiworks.

Hi, Im Shahidha your goto tutor for mastering Power BI, Tableau, Excel, and Data Analytics from scratch. This channel is perfect for students, beginners, and anyone curious about turning data into powerful insights.
YouTubeLearning
LearnOnYouTube
TechTutorial
HowTo
EdTech
OnlineEducation
SelfTaught
DigitalSkills
SkillUp
TrendingNow
SubscribeNow
LikeAndShare
RoadTo1KSubs
SmallYouTuber
SupportSmallCreators
NewVideoAlert
WatchTillEnd
BoostYourCareer
LearnAndGrow
UpSkillToday
trending"
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,22,128000,20339268,812,,India,UUn1USB9-5UqKJTSHd1JGcVw,"30,000 Enrolled Learners  15,000 Successful Career Transitions
Join thousands who have transitioned into Data Analytics, Data Science, AI, Data Engineering, and Generative AI  whether youre a working professional, returning after a career gap, a faculty member, or a fresher.

Struggling to secure a job in India, the USA, UK, Canada, or the UAE?
We help students, professionals, and even homemakers land roles in Data Analytics, Data Science, Machine Learning, Data Engineering, Generative AI, and AI across these countries.

Our implementationbased learning with internship courses helps you build a strong portfolio to bridge the gap between industry expectations and your skills.

 Get a customised career transition plan!
 WhatsAppCall us 91 96444 66222
 Or schedule a 1on1 call with Kanth httpsbepec.inregistrationform"
UCWpylRs_Rq_gooBnmR9Tfhw,PJ Analytics,16,1450,115978,100,2019-11-05 20:45:26.823306+00:00,India,UUWpylRs_Rq_gooBnmR9Tfhw,PJ Analytics is my attempt to teach Tableau basics and Real time challenges to people in short time which took me years to learn.
UCfJT_eYDTmDE-ovKaxVE1ig,Kevin Stratvert,31,3860000,581515227,1093,,United States,UUfJT_eYDTmDE-ovKaxVE1ig,"Learn how to do anything, with highquality howto videos. I teach millions of students around the world every month across YouTube, Instagram, TikTok, and other social media platforms to help them master technology, achieve more at work, and succeed at school. Ive been featured on CNBC, Fast Company, GeekWire, and Windows Central. Im an exMicrosoft Product Manager and now a fulltime education content creator.

 NEWSLETTER
Get the top tech tips and tricks delivered to your inbox each week httpskevinstratvert.comnewsletter

 REQUEST VIDEOS
httpsforms.gleBDrTNUoxheEoMLGt5

 OFFICIAL WEBSITE
httpwww.kevinstratvert.com

 SUPPORT THE CHANNEL
Support the channel with your Amazon purchases httpsamzn.to3kCP2yz Disclosure this link gives me a small commission to support videos on this channel. The price to you is the same."
UCSQvwTdavISOusGhJW6H0Vg,Absent Data,29,62900,5020310,226,,Unknown,UUSQvwTdavISOusGhJW6H0Vg,"Channel is dedicated to providing you with quick and easy tutorials to expand your skills in Data Analysis  Learn practical formulas in Statistics, DAX, Python,  Excel and acquire Machine Learning techniques that will make you become a amazing data analyst."
UCiYjpuUaSfkvdZkmtDU7JRw,MyOnlineTrainingHub,13,760000,57541297,375,,United States,UUiYjpuUaSfkvdZkmtDU7JRw,"Teaching you Excel and Power BI skills that will get you noticed and promoted. For more, check out my courses here  httpswww.myonlinetraininghub.comcourses"
UCLLw7jmFsvfIVaUFsLs8mlQ,Luke Barousse,31,558000,27967224,165,2020-08-03 09:02:41.213077+00:00,United States,UULLw7jmFsvfIVaUFsLs8mlQ,"Whats up, Data Nerds! Im Luke, a data analyst who loves exploring tech.

 If you have a question, drop a comment in any video. 

 Email is for business inquiries only, please."
UCcfngi7_ASuo5jdWX0bNauQ,How to Power BI,16,428000,26171035,690,2020-05-03 08:06:02.009212+00:00,Germany,UUcfngi7_ASuo5jdWX0bNauQ,"I am Bas and I am here to teach everything I know about Power BI. My journey started a long, long time ago with VBA, Power Query and finally Power BI. Over the years Ive build DataTraining.io, where I train and consult international organizations in Power BI and Tableau. Recently, I have decided to take everything I know and share it online, so that I can help more people 

Follow along to get an independent view on Power BI, Power Query and Power Apps. 
I always share my honest take on features, applications and limitations.

 TRAININGS  

Learning Path httpsmy.datatraining.iosubscriptions?idpowerbizerotohero
For Custom Trainings and Consulting email directly supportdatatraining.io

 JOIN 

Subscribe httpsbit.ly31MnQGO 
Website httpswww.datatraining.io

Thanks for being a part of this channel  

HowToPowerBI PowerBI DataTraining
powerbidesktop powerbitraining powerbideveloper"
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,68,12300000,256704738,5155,,India,UUCktnahuRFYIBtNnKT5IYyg,"Intellipaat is a global online professional training platform with 10.2M learners. We offer certification and degree programs in collaboration with IITs, NITs, and top global universities. Courses span Data Science, AI, Cloud, DevOps, Cybersecurity, Business Analytics, Digital Marketing, and more. Programs feature live training, handson projects, expert faculty, and 247 support. Learners benefit from lifetime access, resume building, mock interviews, and placement help. Our job portal with 3,100 hiring partners helps fasttrack careers. Intellipaat has won multiple awards for excellence in online education.

For more information, visit us at httpsintellipaat.com

Contact us at salesintellipaat.com  917022374614 , US 18002168930"
UCJQcQMHE4Cmn5JsSi8F1kcg,Data with Decision,15,84400,5896500,382,2019-12-11 00:30:23.706377+00:00,Nigeria,UUJQcQMHE4Cmn5JsSi8F1kcg,"Greetings, Im Ismaila Omeiza M., and Im thrilled to have you here!

This channel is your gateway to the exciting world of data analytics, where we explore Power BI, Excel, SQL, and an array of tech tips. While we may not have covered everything yet, with you as our subscriber, were determined to exceed your expectations.

Join us on this journey as we take you from beginner to advanced levels in Power BI, Microsoft Excel, and SQL. But thats not all well also guide you through a handson project using reallife data, ensuring you become a proficient data analyst in no time!

Talk To me or send Whatsapp message to 234 8106 0903 65 Business only

Kindly subscribe to our channel."
UCpbMQO3wyA-vfYiCiIGB8Iw,DataMites,15,34100,12873011,1367,,India,UUpbMQO3wyA-vfYiCiIGB8Iw,"DataMites is a global training institute offering courses in Data Science, Artificial Intelligence, Machine Learning, Python, and more. Renowned for its practical approach and expert trainers, DataMites empowers learners from diverse backgrounds to build successful tech careers through handson training and realworld projects.

Popular Courses at DataMites
Courses include Certified Data Scientist, AI Engineer, Certified Data Analyst, Certified Data Engineer, Python Developer, Data Science for Managers, AI for Managers, Marketing Data Analytics, HR Data Analytics, Power BI Expert, and Tableau Expertall designed to meet current industry needs.

Why Choose DataMites?
Internship with realtime AI projects
Industryaligned curriculum
100 placement assistance
Online  offline classes in 20 Indian cities
Led by AI expert Ashok Veda
Certifications accredited by IABAC  NASSCOM FutureSkills

More details call 1800 313 3434 or visit httpsdatamites.com"
UCRDhrUdd9yoVoFFQqadR4FQ,Satish Dhawale,19,169000,8409074,140,2024-01-02 07:38:31.345366+00:00,India,UURDhrUdd9yoVoFFQqadR4FQ,"My name is Satish Dhawale, and Im a content creator honoured with 7 Silver and 1 Gold YouTube Play Buttons.

This channel is your goto resource for expert advice and tutorials on enhancing productivity with office applications like Microsoft Excel, Microsoft Power BI, and Microsoft Power Automate. Whether you are just starting out or are a seasoned professional looking to advance your data analysis capabilities, here youll discover helpful insights and detailed tutorials. Join our community to revolutionize how you manage data and streamline your office tasks. Make sure to subscribe and activate notifications so you dont miss any updates!

For corporate training inquiries, contact us at infosatishdhawale.com

Satish Dhawale Founder of Skill Course Online E Learning platform..SkillCourse exceltricks exceltips computertips computertricks"
UCV2On_SjdqwEG9NyEHQzrrA,Top VarSity,18,121000,9234800,697,2019-11-27 17:09:59.016312+00:00,India,UUV2On_SjdqwEG9NyEHQzrrA,"Welcome to Top Varsity  your ultimate destination for mastering the art and science of Data Analytics!

Our channel is dedicated to helping learners of all levels unlock the potential of data. We provide
 InDepth Tutorials Stepbystep guides on tools and techniques.
 Expert Lectures Insights from industry leaders and educators.
 RealWorld Applications Handson projects, case studies, and examples to bridge the gap between learning and implementation.
 Tips  Tricks Simplify complex concepts and enhance your skills.

Whether youre just starting out or looking to level up your expertise, Top Varsity is here to make data analytics accessible, engaging, and impactful.

For business inquiries, partnerships, or collaborations, contact us at enengineeringnotesgmail.com

Hit Subscribe and join the journey to data mastery! 

THANK YOU!"
UCgnr2Lkl1LZf0IOKRDAoJ2g,Amit Thinks,40,290000,86298691,2563,,India,UUgnr2Lkl1LZf0IOKRDAoJ2g,"I am Amit Diwan, an entrepreneur who runs Studyopedia, an edtech venture. Also running Amit Thinks, a tech YouTube Channel. 

Our YouTube channel, Amit Thinks, reached 2.6 million monthly organic views in July 2025. Our watch time has crossed 3 million hours. Currently, we serve 1.3 million unique visitors per month. The videos are published in English and Hindi. 

We are also into B2B and sell our video and text courses to top EdTechs on todays trending technologies Python, Generative AI, Data Science, Numpy, Pandas, SQL, MongoDB, Java, WordPress, Bootstrap, etc.

I left a job offer from Accenture and three government jobs to follow my entrepreneurial dream. I am from West Delhi and a diehard fan of another West Delhiite, Virat Kohli. 

Connect
My Website httpsstudyopedia.com
LinkedIn httpsin.linkedin.cominamitdiwan6300373a
Instagram httpswww.instagram.comamit.thinks

For collaborations  business inquiries amitstudyopedia.com"
UCJtUOos_MwJa_Ewii-R3cJA,Leila Gharani,23,2920000,293908352,610,,Austria,UUJtUOos_MwJa_Ewii-R3cJA,"Excel. Copilot. ChatGPT. Power BI. PowerPoint.  
You use them every day  so why not actually master them?

Ill show you how to
Automate the stuff that drives you nuts
 Spend less time on grunt work, more time on wow work
 Build reports that look good AND actually make sense

What Youll Learn Here
 Excel, Power BI, PowerPoint, VBA, Google Sheets  more
 AIpowered Excel  the future of work
 Data  finance skills that give you an edge

I dont just teach this stuff  I use it daily. 
My goal? To help you think differently about the tools you already have, so you can work faster, and with confidence.

 My background MA in economics  Economist  Business Consultant  Accounting Systems Expert  Oracle  SAP implementations for Finance  Teacher  Microsoft MVP

 400,000 professionals have taken my courses at XelPlus  because working smarter just makes sense. 
Join here  httpswww.xelplus.comcourses"
UCDybamfye5An6p-j1t2YMsg,Mo Chen,23,185000,7481765,266,2022-12-25 20:25:38.187653+00:00,United Kingdom,UUDybamfye5An6p-j1t2YMsg,"PERSONALIZED PROJECTS  DATA PORTFOLIO httpsmochen.info

SPONSORSHIPS httpsmochen.notion.sitepartnerships OR email me at enquiriesmochen.info

ABOUT ME Im Mo and I work as a data analytics manager  content creator. I make videos about how you can stay competitive  ahead of the competition in the data industry."
UCOMG0iHHi27owoyxGvURxiQ,Analytics with Nags,38,128000,13470065,525,2020-05-31 02:27:28.805188+00:00,India,UUOMG0iHHi27owoyxGvURxiQ,"This YouTube Channel has Microsoft Power BI tutorial for beginners  from desktop download login installation to DAX Services Projects Dashboards Reports. This also Covers MSBI  SSISSSASSSRSSQL. All the training course content available here is FREE in YouTube and we put high quality content for POWER BI.

Our Vision is so simple,

We have been in Data analytics technology over a decade and we want to share our knowledge through this channel.

Data Analytics is a process of inspecting, cleansing, transforming and modeling data with the goal of discovering useful information, informing conclusions and supporting decisionmaking.

Data Analytics is the future, and the future will demand skills for jobs as functional analysts, data engineers, data scientists, and advanced analysts.

Data Analytics is an internal organizational function performed by Data Analysts that is more than merely presenting numbers and figures to management."
UCdDtsDwI7U9k78w6PAyGfSA,Accounts Expert,19,333000,41909968,1357,2021-10-15 08:31:30.533123+00:00,India,UUdDtsDwI7U9k78w6PAyGfSA,"Hello and Welcome to the Accounts Expert YouTube Channel!
Our mission is to deliver clear, practical, and topicspecific content focused on the most indemand software in the fields of Finance, Accounting, and Data Analytics.

We specialize in powerful tools such as Advanced Excel, Tally Prime, SAP FICO, and morecovering realworld applications, trending topics, and jobready skills.

Our Current Team Members are Tannu Singhal, Komal Yadav, Jai Shree, Ravina,Suraj, Kiran, Mohit Yadav and Sumit.  

Also, we understand how important it is to have a great personality  good communication skills in this era, so well be covering this aspect as well, there will be videos from experts who help you groom your personality.

The core purpose of this channel is the same as that of education Its to impart knowledge about subject matter  learn how to learn...

For more queries about our Online Courses then please get in touch with 8804949888
or mail at learnonline.expertgmail.com"
UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,23,11100000,902511746,1918,,United States,UU8butISFwT-Wl7EV0hUK0BQ,"Learn math, programming, and computer science for free. A 501c3 taxexempt charity. We also run a free learning interactive platform at freecodecamp.org"
UC-3e3hAUhDV2lwcoQGD2grg,Simon Sez IT,12,683000,81987211,1405,,United States,UU-3e3hAUhDV2lwcoQGD2grg,"Welcome to our channel!  Get ready for a software training extravaganza brought to you by Simon Sez IT! 

At Simon Sez IT, were not just ITching to help you succeed in Information Technology were thrilled about it!  Weve got an impressive collection of 200 training courses with over 10,000 training videos! 

But wait, theres more!  We keep the learning party going with new software training tutorials dropping every Tuesday, Wednesday, and Thursday! 

These videos are just a tasty appetizer to the banquet of knowledge we serve up at httpswww.SimonSezIT.com! 

At Simon Sez IT, were about making software mastery easy and affordable! Our straightforward instructions will help you conquer various software skills, making you a pro in no time! 

So why wait? Join the Simon Sez IT fun train, and lets level up your IT skills together!"
UC3rY5HOgbBvGmq7RnDfwF7A,Rishabh Mishra,40,474000,36867883,127,2022-02-12 14:28:29.641872+00:00,India,UU3rY5HOgbBvGmq7RnDfwF7A,"Education, Jobs, Career  College Tips 

Hope you get best out of it and helps you to grow professionally and personally. 

For queries or collaboration Rmishra.connectgmail.com"
UCeVMnSShP_Iviwkknt83cww,CodeWithHarry,13,8940000,1016860692,2472,,India,UUeVMnSShP_Iviwkknt83cww,"Code With Harry is my attempt to teach basics and those coding techniques to people in short time which took me ages to learn.
At Code With Harry, I provide a quick and to the point demo along with resources of anything and everything I teach. Source code and other resources are hosted on my website CodeWithHarry.com. I provide source codeif any in the description of every video.
Quality programming videos in Hindi 
Business enquiries harrycodewithharry.com"
