channel_id,title,appearances_in_searches,subscriber_count,view_count,video_count,published_at,country,uploads_playlist_id,description
UCxladMszXan-jfgzyeIMyvw,Rob Mulla,17,212000,14889319,163,2021-09-26T18:25:56.754723Z,US,UUxladMszXan-jfgzyeIMyvw,"Learning is fun when you are driven by curiosity. I create videos that showcase what is possible with data science and programming, hopefully sparking that very curiosity.

I try to take a diverse approach to the content I create:
- Short videos that teach one specific concept.
- Tutorials that show what is possible with various python packages or machine learning models.
- Live coding streams where the topics are driven by the chat and community.

Links to my stuff:
* Youtube: https://youtube.com/@robmulla?sub_confirmation=1
* Discord: https://discord.gg/HZszek7DQc
* Twitch: https://www.twitch.tv/RobCodesLIVE
* Twitter: https://twitter.com/Rob_Mulla
* Kaggle: https://www.kaggle.com/robikscube
* Instagram https://www.instagram.com/datasciencerob/reels/
"
UCCezIgC97PvUuR4_gbFUs5g,Corey Schafer,13,1480000,104338315,247,2006-05-31T22:49:22Z,US,UUCezIgC97PvUuR4_gbFUs5g,"Welcome to my Channel. This channel is focused on creating tutorials and walkthroughs for software developers, programmers, and engineers. We cover topics for all different skill levels, so whether you are a beginner or have many years of experience, this channel will have something for you.

We've already released a wide variety of videos on topics that include: Python, Git, Development Environments, Terminal Commands, SQL, Programming Terms, JavaScript, Computer Science Fundamentals, and plenty of other tips and tricks which will help you in your career.


If you enjoy these videos and would like to support my channel, I would greatly appreciate any assistance through my Patreon account:
https://www.patreon.com/coreyms


You can find me on:
My website - http://coreyms.com/
Facebook - https://www.facebook.com/CoreyMSchafer
Twitter - https://twitter.com/CoreyMSchafer
Google Plus - https://plus.google.com/+CoreySchafer44/posts
Tumblr - https://www.tumblr.com/blog/mycms"
UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,50,1380000,142383927,1113,2015-11-07T17:29:46Z,US,UUh9nVJoWXmFb7sLApWGcLPQ,"I am Dhaval Patel, an AI professional with 14 years of experience with big tech companies such as Bloomberg and NVIDIA. I am also a co-founder of AI services company AtliQ. The co-founder of this channel Hemanand Vadivel has 6+ years of DATA INDUSTRY experience in Europe. We teach data analytics, data science, and AI on this channel. All our content is highly relevant to the industry.

Visit https://codebasics.io/ for my video courses that teach technology most simplistically and practically!

For all Business and Sponsorship-related inquiries, don't hesitate to get in touch with business@codebasics.io.
"
UCSDWBDH08jTDl6kdD-HjGew,Matthew Hefferon,14,3590,998335,100,2018-08-17T20:14:27Z,US,UUSDWBDH08jTDl6kdD-HjGew,"Welcome to my channel!

I started my career as a software developer, built some startups, and helped implement data visualization tools at multiple companies, including Nintendo of America.

I love teaching and wanted to create a channel to share what I've learned over the past 10+ years in tech 📈🚀

Cheers ✌️
"
UC8_RSKwbU1OmZWNEoLV1tQg,Data with Baraa,33,173000,8180757,329,2022-12-24T21:19:00.052502Z,DE,UU8_RSKwbU1OmZWNEoLV1tQg,"Hey! I'm Baraa Khatib Salkini - a data guy who loves teaching and simplifying complex topics. With 15+ years in data and analytics (including time at Mercedes-Benz), I share quick hand-drawn sketches, real-world projects, and clear, practical explanations.

If you're starting your data journey, switching careers, or just curious about analytics, SQL, Tableau, data science, or data engineering, you're in the right place.

Join me to build your skills and launch your data career! 🡺 http://bit.ly/3GiCVUE

✨ Stay connected
LinkedIn: https://www.linkedin.com/in/baraa-khatib-salkini-845b1b55/
Substack: https://datawithbaraa.substack.com/subscribe
Website: https://www.datawithbaraa.com
TikTok: https://www.tiktok.com/@datawithbaraa

#python #programming #project #sql #tableau "
UC7cs8q-gJRlGwj4A8OmCmXg,Alex The Analyst,59,1160000,54573620,397,2020-01-08T05:04:24.970712Z,US,UU7cs8q-gJRlGwj4A8OmCmXg,"My name is Alex Freberg and on this channel I will be going over everything you need to know to become a Data Analyst. If you are wanting to make a career change or learn the skills needed to become a Data Analyst, be sure to subscribe to stay up to date on all my latest content.

You can find me on LinkedIn at:
https://www.linkedin.com/in/alex-freberg/

AlexTheAnalyst.com
https://www.alextheanalyst.com/

Discord Channel:
https://discord.gg/rxZUjNvRzR

Twitter:
@Alex_TheAnalyst

"
UCm7fT9_IdCDbeBXjAwL9IIg,datagy,15,5700,361752,38,2020-03-30T01:36:33.917297Z,CA,UUm7fT9_IdCDbeBXjAwL9IIg,"I'm Nik and I teach Python and other data analysis tools such as Excel, SQL, and PowerBI here on my channel and over at my website at datagy.io.

Check out my comprehensive guide to getting started with Python for data science here: https://datagy.io/introduction-to-python-for-data-science/"
UCFqInmJykuVFKzi6uQl_ySg,Maven Analytics,26,127000,6243195,573,2019-08-28T19:20:21Z,US,UUFqInmJykuVFKzi6uQl_ySg,"At Maven Analytics, we empower everyday people to land their dream jobs in data analytics and business intelligence. We've helped more than 1,000,000 students launch or accelerate their data careers, and we're just getting started.

Learn tools like Excel, SQL, Power BI, Tableau and Python, and build your FREE portfolio at www.mavenanalytics.io
"
UCTV9o-srrSbeHWxw_KoMYiQ,Alaa_tech,14,65,631,36,2014-10-25T09:54:51Z,,UUTV9o-srrSbeHWxw_KoMYiQ,"learning a new skill here:
 Data Analysis, Machine learning, Arc Gis, Petrel, Techlog and Seismic "
UCdF1F5n9LJZPxF7mPbdiUpw,Tech2Torials,59,9,1274,490,2025-08-29T20:19:55.099795Z,GB,UUdF1F5n9LJZPxF7mPbdiUpw,"🔹 Welcome to Tech2Torials! 🔹
Your go-to channel for simple, clear, and practical tech tutorials.

I create easy-to-follow guides on software tools, apps, and digital solutions that make life easier. Whether you’re a beginner learning the basics or someone looking to sharpen your skills, my step-by-step tutorials will help you master the tech you use every day.

In the future, I’ll also dive into tech gadgets, tips, and reviews—helping you stay updated and get the most out of your devices.

💡 Subscribe if you want to:
✔ Learn software the easy way
✔ Discover useful tech tips
✔ Explore gadgets and digital tools

🚀 Tech made simple. Knowledge made practical.
"
UC8LUT6Qn7MSvPQPM8ZJsW8g,LearnWidGiggs,16,93800,8477762,377,2021-08-20T13:49:46.207164Z,IN,UU8LUT6Qn7MSvPQPM8ZJsW8g,"Hello, My name is Shashank, this channel helps people to prepare for the interviews and learn Microsoft Power BI tool, SQL Server and Azure based stuffs.

For any Enquiry/Business Enquiry: 
contact.shashank26@gmail.com

Disclaimer: I am not representing any Company or Organization, am only telling my opinions, not talking on behalf of any org.
"
UCWupCHV-_w4NAvJRhZy6FXw,Shahi_works,14,478,65026,400,2020-08-10T18:48:38.08873Z,IN,UUWupCHV-_w4NAvJRhZy6FXw,"#Aspiring Data Analyst #YoutubeTutor #artist

DO SUPPORT MY CHANNEL ND SHARE MAXIMUM.

Instagram I'd: @_.Shahi_works._

Hi, I'm Shahidha– your go-to tutor for mastering Power BI, Tableau, Excel, and Data Analytics from scratch. This channel is perfect for students, beginners, and anyone curious about turning data into powerful insights.
#YouTubeLearning
#LearnOnYouTube
#TechTutorial
#HowTo
#EdTech
#OnlineEducation
#SelfTaught
#DigitalSkills
#SkillUp
#TrendingNow
#SubscribeNow
#LikeAndShare
#RoadTo1KSubs
#SmallYouTuber
#SupportSmallCreators
#NewVideoAlert
#WatchTillEnd
#BoostYourCareer
#LearnAndGrow
#UpSkillToday
#trending"
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,22,128000,20339268,812,2016-06-20T11:39:47Z,IN,UUn1USB9-5UqKJTSHd1JGcVw,"30,000+ Enrolled Learners | 15,000+ Successful Career Transitions
Join thousands who have transitioned into Data Analytics, Data Science, AI, Data Engineering, and Generative AI — whether you’re a working professional, returning after a career gap, a faculty member, or a fresher.

Struggling to secure a job in India, the USA, UK, Canada, or the UAE?
We help students, professionals, and even homemakers land roles in Data Analytics, Data Science, Machine Learning, Data Engineering, Generative AI, and AI across these countries.

Our implementation-based learning with internship courses helps you build a strong portfolio to bridge the gap between industry expectations and your skills.

✅ Get a customised career transition plan!
📞 WhatsApp/Call us: +91 96444 66222
📅 Or schedule a 1-on-1 call with Kanth: https://bepec.in/registration-form/
"
UCWpylRs_Rq_gooBnmR9Tfhw,PJ Analytics,16,1450,115978,100,2019-11-05T20:45:26.823306Z,IN,UUWpylRs_Rq_gooBnmR9Tfhw,"PJ Analytics is my attempt to teach Tableau basics and Real time challenges to people in short time which took me years to learn. 

"
UCfJT_eYDTmDE-ovKaxVE1ig,Kevin Stratvert,31,3860000,581515227,1093,2007-01-08T00:08:18Z,US,UUfJT_eYDTmDE-ovKaxVE1ig,"Learn how to do anything, with high-quality how-to videos. I teach millions of students around the world every month across YouTube, Instagram, TikTok, and other social media platforms to help them master technology, achieve more at work, and succeed at school. I've been featured on CNBC, Fast Company, GeekWire, and Windows Central. I'm an ex-Microsoft Product Manager and now a full-time education content creator.

📩 NEWSLETTER
Get the top tech tips and tricks delivered to your inbox each week: https://kevinstratvert.com/newsletter/

🙏 REQUEST VIDEOS
https://forms.gle/BDrTNUoxheEoMLGt5

💻 OFFICIAL WEBSITE
http://www.kevinstratvert.com

🪙 SUPPORT THE CHANNEL
Support the channel with your Amazon purchases: https://amzn.to/3kCP2yz (Disclosure: this link gives me a small commission to support videos on this channel. The price to you is the same.)
"
UCSQvwTdavISOusGhJW6H0Vg,Absent Data,29,62900,5020310,226,2016-01-11T11:16:17Z,,UUSQvwTdavISOusGhJW6H0Vg,"Channel is dedicated to providing you with quick and easy tutorials to expand your skills in Data Analysis  Learn practical formulas in Statistics, DAX, Python,  Excel and acquire Machine Learning techniques that will make you become a amazing data analyst."
UCiYjpuUaSfkvdZkmtDU7JRw,MyOnlineTrainingHub,13,760000,57541297,375,2010-04-11T13:56:56Z,US,UUiYjpuUaSfkvdZkmtDU7JRw,"Teaching you Excel and Power BI skills that will get you noticed and promoted. For more, check out my courses here:  https://www.myonlinetraininghub.com/courses"
UCLLw7jmFsvfIVaUFsLs8mlQ,Luke Barousse,31,558000,27967224,165,2020-08-03T09:02:41.213077Z,US,UULLw7jmFsvfIVaUFsLs8mlQ,"What's up, Data Nerds! I'm Luke, a data analyst who loves exploring tech.

❓ If you have a question, drop a comment in any video. 

📩 Email is for business inquiries only, please.


"
UCcfngi7_ASuo5jdWX0bNauQ,How to Power BI,16,428000,26171035,690,2020-05-03T08:06:02.009212Z,DE,UUcfngi7_ASuo5jdWX0bNauQ,"I am Bas and I am here to teach everything I know about Power BI. My journey started a long, long time ago with VBA, Power Query and finally Power BI. Over the years I've build DataTraining.io, where I train and consult international organizations in Power BI and Tableau. Recently, I have decided to take everything I know and share it online, so that I can help more people :)

Follow along to get an independent view on Power BI, Power Query and Power Apps. 
I always share my honest take on features, applications and limitations.

📊 TRAININGS 📊 
---------------------------------
Learning Path https://my.datatraining.io/subscriptions?id=power-bi-zero-to-hero
For Custom Trainings and Consulting email directly support@datatraining.io

😍 JOIN 😍
----------------------------------
Subscribe: https://bit.ly/31MnQGO​ 
Website: https://www.datatraining.io

Thanks for being a part of this channel 💪 🙏

#HowToPowerBI​ #PowerBI​ #DataTraining​
#powerbidesktop​ #powerbitraining​ #powerbideveloper​ 
"
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,68,12300000,256704738,5155,2013-01-24T06:37:31Z,IN,UUCktnahuRFYIBtNnKT5IYyg,"Intellipaat is a global online professional training platform with 10.2M+ learners. We offer certification and degree programs in collaboration with IITs, NITs, and top global universities. Courses span Data Science, AI, Cloud, DevOps, Cybersecurity, Business Analytics, Digital Marketing, and more. Programs feature live training, hands-on projects, expert faculty, and 24×7 support. Learners benefit from lifetime access, resume building, mock interviews, and placement help. Our job portal with 3,100+ hiring partners helps fast-track careers. Intellipaat has won multiple awards for excellence in online education.

For more information, visit us at:- https://intellipaat.com

Contact us at:- sales@intellipaat.com | +91-7022374614 , US: 1-800-216-8930"
UCJQcQMHE4Cmn5JsSi8F1kcg,Data with Decision,15,84400,5896500,382,2019-12-11T00:30:23.706377Z,NG,UUJQcQMHE4Cmn5JsSi8F1kcg,"Greetings, I'm Ismaila Omeiza M., and I'm thrilled to have you here!

This channel is your gateway to the exciting world of data analytics, where we explore Power BI, Excel, SQL, and an array of tech tips. While we may not have covered everything yet, with you as our subscriber, we're determined to exceed your expectations.

Join us on this journey as we take you from beginner to advanced levels in Power BI, Microsoft Excel, and SQL. But that's not all; we'll also guide you through a hands-on project using real-life data, ensuring you become a proficient data analyst in no time!""

Talk To me or send Whatsapp message to +234 8106 0903 65 Business only

Kindly subscribe to our channel."
UCpbMQO3wyA-vfYiCiIGB8Iw,DataMites,15,34100,12873011,1367,2017-04-18T12:26:25Z,IN,UUpbMQO3wyA-vfYiCiIGB8Iw,"DataMites is a global training institute offering courses in Data Science, Artificial Intelligence, Machine Learning, Python, and more. Renowned for its practical approach and expert trainers, DataMites empowers learners from diverse backgrounds to build successful tech careers through hands-on training and real-world projects.

Popular Courses at DataMites:
Courses include Certified Data Scientist, AI Engineer, Certified Data Analyst, Certified Data Engineer, Python Developer, Data Science for Managers, AI for Managers, Marketing Data Analytics, HR Data Analytics, Power BI Expert, and Tableau Expert—all designed to meet current industry needs.

Why Choose DataMites?
*Internship with real-time AI projects
*Industry-aligned curriculum
*100% placement assistance
*Online & offline classes in 20+ Indian cities
*Led by AI expert Ashok Veda
*Certifications accredited by IABAC & NASSCOM FutureSkills

More details call: 1800 313 3434 or visit https://datamites.com/"
UCRDhrUdd9yoVoFFQqadR4FQ,Satish Dhawale,19,169000,8409074,140,2024-01-02T07:38:31.345366Z,IN,UURDhrUdd9yoVoFFQqadR4FQ,"My name is Satish Dhawale, and I'm a content creator honoured with 7 Silver and 1 Gold YouTube Play Buttons.

This channel is your go-to resource for expert advice and tutorials on enhancing productivity with office applications like Microsoft Excel, Microsoft Power BI, and Microsoft Power Automate. Whether you are just starting out or are a seasoned professional looking to advance your data analysis capabilities, here you'll discover helpful insights and detailed tutorials. Join our community to revolutionize how you manage data and streamline your office tasks. Make sure to subscribe and activate notifications so you don't miss any updates!

For corporate training inquiries, contact us at: info@satishdhawale.com

Satish Dhawale Founder of Skill Course Online E- Learning platform..#SkillCourse #exceltricks #exceltips #computertips #computertricks "
UCV2On_SjdqwEG9NyEHQzrrA,Top VarSity,18,121000,9234800,697,2019-11-27T17:09:59.016312Z,IN,UUV2On_SjdqwEG9NyEHQzrrA,"Welcome to Top Varsity – your ultimate destination for mastering the art and science of Data Analytics!

Our channel is dedicated to helping learners of all levels unlock the potential of data. We provide:
🎓 In-Depth Tutorials: Step-by-step guides on tools and techniques.
📚 Expert Lectures: Insights from industry leaders and educators.
🚀 Real-World Applications: Hands-on projects, case studies, and examples to bridge the gap between learning and implementation.
💡 Tips & Tricks: Simplify complex concepts and enhance your skills.

Whether you’re just starting out or looking to level up your expertise, Top Varsity is here to make data analytics accessible, engaging, and impactful.

For business inquiries, partnerships, or collaborations, contact us at: enengineeringnotes@gmail.com

Hit Subscribe and join the journey to data mastery! 🌟

THANK YOU!
"
UCgnr2Lkl1LZf0IOKRDAoJ2g,Amit Thinks,40,290000,86298691,2563,2012-08-08T14:53:59Z,IN,UUgnr2Lkl1LZf0IOKRDAoJ2g,"I am Amit Diwan, an entrepreneur who runs Studyopedia, an edtech venture. Also running ""Amit Thinks"", a tech YouTube Channel. 

Our YouTube channel, ""Amit Thinks,"" reached 2.6 million monthly organic views in July 2025. Our watch time has crossed 3 million hours. Currently, we serve 1.3 million+ unique visitors per month. The videos are published in English and Hindi. 

We are also into B2B and sell our video and text courses to top EdTechs on today's trending technologies: Python, Generative AI, Data Science, Numpy, Pandas, SQL, MongoDB, Java, WordPress, Bootstrap, etc.

I left a job offer from Accenture and three government jobs to follow my entrepreneurial dream. I am from West Delhi and a die-hard fan of another West Delhiite, Virat Kohli. 

👉Connect
My Website: https://studyopedia.com
LinkedIn: https://in.linkedin.com/in/amit-diwan-6300373a
Instagram: https://www.instagram.com/amit.thinks/

📧For collaborations & business inquiries: amit@studyopedia.com
"
UCJtUOos_MwJa_Ewii-R3cJA,Leila Gharani,23,2920000,293908352,610,2015-08-11T10:54:25Z,AT,UUJtUOos_MwJa_Ewii-R3cJA,"Excel. Copilot. ChatGPT. Power BI. PowerPoint.  
You use them every day - so why not actually master them?

I’ll show you how to:
✔️Automate the stuff that drives you nuts
✔️ Spend less time on grunt work, more time on wow work
✔️ Build reports that look good AND actually make sense

What You’ll Learn Here:
✔️ Excel, Power BI, PowerPoint, VBA, Google Sheets & more
✔️ AI-powered Excel & the future of work
✔️ Data & finance skills that give you an edge

I don’t just teach this stuff - I use it daily. 
My goal? To help you think differently about the tools you already have, so you can work faster, and with confidence.

🎓 My background: MA in economics / Economist / Business Consultant / Accounting Systems Expert / Oracle & SAP implementations (for Finance) / Teacher & Microsoft MVP

💡 400,000+ professionals have taken my courses at XelPlus - because working smarter just makes sense. 
Join here 👉 https://www.xelplus.com/courses/
"
UCDybamfye5An6p-j1t2YMsg,Mo Chen,23,185000,7481765,266,2022-12-25T20:25:38.187653Z,GB,UUDybamfye5An6p-j1t2YMsg,"PERSONALIZED PROJECTS & DATA PORTFOLIO: https://mochen.info/

SPONSORSHIPS: https://mo-chen.notion.site/partnerships OR email me at enquiries@mochen.info

ABOUT ME: I'm Mo and I work as a data analytics manager / content creator. I make videos about how you can stay competitive / ahead of the competition in the data industry.
"
UCOMG0iHHi27owoyxGvURxiQ,Analytics with Nags,38,128000,13470065,525,2020-05-31T02:27:28.805188Z,IN,UUOMG0iHHi27owoyxGvURxiQ,"This YouTube Channel has Microsoft Power BI tutorial for beginners - from desktop download login installation to DAX Services Projects Dashboards Reports. This also Covers MSBI - SSIS/SSAS/SSRS/SQL. All the training course content available here is FREE in YouTube and we put high quality content for POWER BI.

Our Vision is so simple,

We have been in Data analytics technology over a decade and we want to share our knowledge through this channel.

Data Analytics is a process of inspecting, cleansing, transforming and modeling data with the goal of discovering useful information, informing conclusions and supporting decision-making.

Data Analytics is the future, and the future will demand skills for jobs as functional analysts, data engineers, data scientists, and advanced analysts.

Data Analytics is an internal organizational function performed by Data Analysts that is more than merely presenting numbers and figures to management.
 


"
UCdDtsDwI7U9k78w6PAyGfSA,Accounts Expert,19,333000,41909968,1357,2021-10-15T08:31:30.533123Z,IN,UUdDtsDwI7U9k78w6PAyGfSA,"Hello and Welcome to the Accounts Expert YouTube Channel!
Our mission is to deliver clear, practical, and topic-specific content focused on the most in-demand software in the fields of Finance, Accounting, and Data Analytics.

We specialize in powerful tools such as Advanced Excel, Tally Prime, SAP FICO, and more—covering real-world applications, trending topics, and job-ready skills.

Our Current Team Members are Tannu Singhal, Komal Yadav, Jai Shree, Ravina,Suraj, Kiran, Mohit Yadav and Sumit.  

Also, we understand how important it is to have a great personality & good communication skills in this era, so we'll be covering this aspect as well, there will be videos from experts who help you groom your personality.

The core purpose of this channel is the same as that of education ""It's to impart knowledge about subject matter & learn how to learn...

For more queries about our Online Courses then please get in touch with @880-4949-888
or mail at learnonline.expert@gmail.com
"
